"Name","Q","A","OS"
"String","String","String","String"
"Faq1","TID_FAQ_QUESTION_1","TID_FAQ_ANSWER_1","All"
"Faq2","TID_FAQ_QUESTION_46","TID_FAQ_ANSWER_46","All"
"Faq3","TID_FAQ_QUESTION_38","TID_FAQ_ANSWER_38","All"
"Faq4","TID_FAQ_QUESTION_39","TID_FAQ_ANSWER_39","All"
"Faq5","TID_FAQ_QUESTION_40","TID_FAQ_ANSWER_40","All"
"Faq6","TID_FAQ_QUESTION_41","TID_FAQ_ANSWER_41","All"
"Faq7","TID_FAQ_QUESTION_42","TID_FAQ_ANSWER_42","All"
"Faq8","TID_FAQ_QUESTION_43","TID_FAQ_ANSWER_43","All"
"Faq9","TID_FAQ_QUESTION_44","TID_FAQ_ANSWER_44","All"
"Faq10","TID_FAQ_QUESTION_45","TID_FAQ_ANSWER_45","All"
"Faq11","TID_FAQ_QUESTION_33","TID_FAQ_ANSWER_33","All"
"Faq12","TID_FAQ_QUESTION_34","TID_FAQ_ANSWER_34","All"
"Faq13","TID_FAQ_QUESTION_35","TID_FAQ_ANSWER_35","All"
"Faq14","TID_FAQ_QUESTION_36","TID_FAQ_ANSWER_36","All"
"Faq15","TID_FAQ_QUESTION_37","TID_FAQ_ANSWER_37","All"
"Faq16","TID_FAQ_QUESTION_2","TID_FAQ_ANSWER_2","All"
"Faq17","TID_FAQ_QUESTION_3","TID_FAQ_ANSWER_3","All"
"Faq18","TID_FAQ_QUESTION_31_ANDROID","TID_FAQ_ANSWER_31_ANDROID","Android"
"Faq19","TID_FAQ_QUESTION_4","TID_FAQ_ANSWER_4","All"
"Faq20","TID_FAQ_QUESTION_5","TID_FAQ_ANSWER_5","All"
"Faq21","TID_FAQ_QUESTION_6","TID_FAQ_ANSWER_6","All"
"Faq22","TID_FAQ_QUESTION_7","TID_FAQ_ANSWER_7","All"
"Faq23","TID_FAQ_QUESTION_8","TID_FAQ_ANSWER_8","All"
"Faq24","TID_FAQ_QUESTION_9","TID_FAQ_ANSWER_9","All"
"Faq25","TID_FAQ_QUESTION_10","TID_FAQ_ANSWER_10","All"
"Faq27","TID_FAQ_QUESTION_11","TID_FAQ_ANSWER_11","All"
"Faq28","TID_FAQ_QUESTION_12","TID_FAQ_ANSWER_12","All"
"Faq29","TID_FAQ_QUESTION_13","TID_FAQ_ANSWER_13","All"
"Faq30","TID_FAQ_QUESTION_14","TID_FAQ_ANSWER_14","All"
"Faq31","TID_FAQ_QUESTION_15","TID_FAQ_ANSWER_15","All"
"Faq32","TID_FAQ_QUESTION_16","TID_FAQ_ANSWER_16","iOS"
"Faq33","TID_FAQ_QUESTION_17","TID_FAQ_ANSWER_17","All"
"Faq34","TID_FAQ_QUESTION_18","TID_FAQ_ANSWER_18","All"
"Faq35","TID_FAQ_QUESTION_19","TID_FAQ_ANSWER_19","All"
"Faq36","TID_FAQ_QUESTION_20","TID_FAQ_ANSWER_20","All"
"Faq37","TID_FAQ_QUESTION_21","TID_FAQ_ANSWER_21","All"
"Faq38","TID_FAQ_QUESTION_22","TID_FAQ_ANSWER_22","All"
"Faq39","TID_FAQ_QUESTION_23","TID_FAQ_ANSWER_23","All"
"Faq40","TID_FAQ_QUESTION_30","TID_FAQ_ANSWER_30","All"
"Faq41","TID_FAQ_QUESTION_25","TID_FAQ_ANSWER_25","All"
"Faq42","TID_FAQ_QUESTION_26","TID_FAQ_ANSWER_26","All"
"Faq43","TID_FAQ_QUESTION_27","TID_FAQ_ANSWER_27","All"
"Faq44","TID_FAQ_QUESTION_28","TID_FAQ_ANSWER_28","All"
"Faq45","TID_FAQ_QUESTION_29","TID_FAQ_ANSWER_29","All"
"Faq46","TID_FAQ_QUESTION_32","TID_FAQ_ANSWER_32","All"
